rank,score,email,name,title,outlet,tier,source_url,reasons
"25","5","scacustserv@cdsfulfillment.com","","","Scientific American","B","https://www.scientificamerican.com/page/contact-us/","tier B outlet (+2) | direct personal email (+3)"
"26","4","info@vinfoundation.org","","","VIN (Veterinary Info Network)","D","https://www.vin.com/contact/","tier D outlet (+1) | direct personal email (+3)"
"27","4","alinah@bestfriends.org","","","Best Friends Animal Society","D","https://bestfriends.org/contact-us","tier D outlet (+1) | direct personal email (+3)"
"28","4","editor@bestfriends.org","","","Best Friends Animal Society","D","https://bestfriends.org/contact-us","tier D outlet (+1) | direct personal email (+3)"
"29","4","info@bestfriends.org","","","Best Friends Animal Society","D","https://bestfriends.org/contact-us","tier D outlet (+1) | direct personal email (+3)"
"30","4","bestfriendsla@bestfriends.org","","","Best Friends Animal Society","D","https://bestfriends.org/contact-us","tier D outlet (+1) | direct personal email (+3)"
"31","4","contacthouston@bestfriends.org","","","Best Friends Animal Society","D","https://bestfriends.org/contact-us","tier D outlet (+1) | direct personal email (+3)"
"32","4","contactnwa@bestfriends.org","","","Best Friends Animal Society","D","https://bestfriends.org/contact-us","tier D outlet (+1) | direct personal email (+3)"
"33","4","contactnyc@bestfriends.org","","","Best Friends Animal Society","D","https://bestfriends.org/contact-us","tier D outlet (+1) | direct personal email (+3)"
"34","4","houstonvolunteer@bestfriends.org","","","Best Friends Animal Society","D","https://bestfriends.org/contact-us","tier D outlet (+1) | direct personal email (+3)"
"35","4","nationalvolunteers@bestfriends.org","","","Best Friends Animal Society","D","https://bestfriends.org/contact-us","tier D outlet (+1) | direct personal email (+3)"
"36","4","utahadoptions@bestfriends.org","","","Best Friends Animal Society","D","https://bestfriends.org/contact-us","tier D outlet (+1) | direct personal email (+3)"
"37","4","utahvolunteers@bestfriends.org","","","Best Friends Animal Society","D","https://bestfriends.org/contact-us","tier D outlet (+1) | direct personal email (+3)"
"38","4","volunteerla@bestfriends.org","","","Best Friends Animal Society","D","https://bestfriends.org/contact-us","tier D outlet (+1) | direct personal email (+3)"
"39","4","volunteernyc@bestfriends.org","","","Best Friends Animal Society","D","https://bestfriends.org/contact-us","tier D outlet (+1) | direct personal email (+3)"
"40","4","volunteernwa@bestfriends.org","","","Best Friends Animal Society","D","https://bestfriends.org/contact-us","tier D outlet (+1) | direct personal email (+3)"
"41","4","info@iaabc.org","","","IAABC","D","https://iaabc.org/about/contact","tier D outlet (+1) | direct personal email (+3)"
